external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,video_custom,title_custom,type,team,start
zJlp-nJSbr0,326485,20120129,LeBron James jumps over John Lucas for the alley-oop: Bulls vs. Heat (1.29.12),"LeBron James,John Lucas III",2010,1103611,l-AevYl_tMI|RCryNv5wMHE|8VmFPnHloek|jINg81SDk-k|5FGI6rmfqxs|o0P4ZzbTUH4|xb_oAs-5dGg|suL1p30YVvE|SjhJuhJQa9w|S8Wwe6CL5l8|0tNO6mZ-Coo|_zcCak58MBk|mnWvOazx3aY,"UNREAL: LeBron James JUMPS OVER John Lucas III for the Alley-Oop Dunk (Jan. 29, 2012), in HD|LeBron James reacts to jumping over John Lucas: Bulls vs. Heat (1.29.12)|THRILLER IN MIAMI: Heat vs. Bulls (LeBron James, 35 Pts vs. Derrick Rose, 34 Pts), Jan. 29, 2012|LEBRON JAMES JUMPS OVER PLAYER FOR SLAM DUNK!!!|Bulls @ Heat 1/29/12: How Derrick Rose And LeBron James Choked On The Same Bone|LeBron James JUMPS OVER John Lucas For The Alley-oop SLAM!!! [HD] ( Chicago Bulls at Miami Heat )|Dwyane Wade Alley Oop To LeBron James - Bulls vs Heat 1/29/2012|Derrick Rose Flop vs Heat HD|Lebron James  over John Lucas for alley-oop HD 720p:Chicago Bulls at Miami Heat 1/29/2012|Lebron James Jumps Completely OVER John Lucas for Alley-oop Dunk!! Heat Bulls 1/29/12|LeBron James Highest Lob Dunk Ever|LeBron James Jumps over Man in Game!|LeBron James Drains 3 w/ 2.9 Secs Left On Shot Clock - Bulls @ Heat 1/29/2012",172562|117319|89761|84055|78886|63119|56224|31529|26915|16848|16170|13430|10308,13,20120129-LeBron James,,LeBron jumps over John Lucas for the alley-oop,dk,chi|mia,
7IB5lEpASIc,781794,20160219,"Damian Lillard UNREAL Career-HIGH 2016.02.19 vs Warriors - 51 Pts, 6 Stls, 7 Ast, 9 Threes!",Damian Lillard,2010,1094186,tmBQjdj3iZo|ARpZgQqZF_w,"Damian Lillard Full Career-High Highlights vs Warriors (2016.02.19) - EPIC 51 Pts, MUST Watch!|Golden State Warriors vs Portland Trail Blazers - February 19, 2016",197932|114460,2,20160219-Damian Lillard,,Damian Lilliard scores career-high 51 points,,por,
FiZJQn6XUzY,1089543,20111004,Kobe Bryant vs. Kendrick Perkins,"Kendrick Perkins,Kobe Bryant",2010,1089543,,,,0,20111004-Kendrick Perkins,,Kobe Bryant vs. Kendrick Perkins,,lal,
sDtyhv4TFXQ,1063284,20140108,Blake Griffin POSTERIZES Kris Humphries on 1/8/14,"Blake Griffin,Kris Humphries",2010,1079580,Taysgehl-Gs,NBA : BLAKE GRIFFIN Monster Dunk On KRIS HUMPHRIES (1/8/14),16296,1,20140108-Blake Griffin,,Blake Griffin posterizes Kris Humphries,,lac,
GfYXkSAW1LM,816195,20150301,James Harden Kicks LeBron James in the Groin,"James Harden,LeBron James",2010,1073311,U4nXjk6BhKY|9l0aGnIns0A|jI2ULEqyUoA|MLbRVC8dM6A,"James Harden crosses over LeBron James|James Harden kicks LeBron|James Harden Kicks LeBron James - Flagrant Foul | March 1, 2015 | NBA 2014-15 Season|LeBron James Misses Clutch Free-Throws | Cavaliers vs Rockets | March 1, 2015 | NBA 2014-15 Season",149689|67987|22433|17007,4,20150301-James Harden,,James Harden crosses over LeBron James,,hou|cle,
hwIWAgr0cuc,1011239,20120419,Lebron James Drops John Lucas With A Strong Pick Heat @ Bulls 4/19/12 Ron Artest elbow harden head,"LeBron James,James Harden,John Lucas III,Metta World Peace,John Lucas II",2010,1060507,lSrdtLuwTfE|HIOLMX6vZtw,Lebron James flattens John Lucas Heat-Bulls 4-19-12|Lebron James hard screen takes out John Lucas 4/19/12,32829|16439,2,20120419-LeBron James,,LeBron sets hard pick on John Lucas,,chi|mia,
uHjFRSeSFC4,971114,20150405,"James Harden vs Russell Westbrook Full MVP DUEL 2015.04.05 - 81 Pts, 19 Dimes Combined!","James Harden,Russell Westbrook",2010,1049709,cCxLQ86yRjw|-PyYc2d_dJU,"James Harden vs Russell Westbrook Full Duel 2015.11.02 - 62 Pts, 14 Assists Combined!|James Harden scores 8 points in 70 seconds late to put away Thunder",50336|28259,2,20150405-James Harden,,Harden vs. Westbrook,,okc|hou,
je08Dc6FfYk,744252,20110227,Lebron Does Worst Travel ever,LeBron James,2010,1035876,bTw_rHTFxVo|_SEUjEIPpfY|LfTGNArO9hY|gY1pJjRbXQ8|4WUIzYxMFaU,"LeBron James Takes 4 Steps; Complains About Call|Amare Stoudemire huge blocked shot against LeBron James FTW|Lebron James 's no-look pass VS Knicks|Kobe VS LeBron Alley oop|Amar'e Stoudemire CLUTCH block on LeBron James (Feb. 27, 2011)",148677|67466|42523|19757|13201,5,20110227-LeBron James,,LeBron travels,,nyk|mia,
n0xJM1Z7kos,746633,20101229,Tyreke Half-Court Game-Winner vs. Memphis Grizzlies,Tyreke Evans,2010,1020651,VF7rXQO-Y6Y|4nYwTq6VfMQ|NgTbg2OZZVI|bZRl6b2G1V0,"Tyreke Evans amazing halfcourt game winner vs Grizzlies (Dec. 29, 2010)|Tyreke Evans hits an unbelievable buzzer-beater|Tyreke Evans half court game-winning buzzer beater Sacramento Kings vs. Memphis Grizzlies|[HD] Tyreke Evans AMAZING Halfcourt Game Winner vs Grizzlies!!! 12/29/2010",115253|105071|36890|16804,4,20101229-Tyreke Evans,,Tyreke Evans hits half-court game-winner,gw,mem|sac,
cSvtCkCvyUI,916860,20151104,LeBron James rips sleeves off his jersey (Knicks vs Cavs) - HD,LeBron James,2010,1003335,LX68pKAPyfs,"LeBron James vs Carmelo Anthony Full Duel 2015.11.04 - 40 Pts Combined, Dunkfest For LBJ!",86475,1,20151104-LeBron James,,LeBron tears sleeves off his jersey,,cle,
