external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,annotation
XnsVdaKQmws,18799,19850323,Bernard King's injury moment,Bernard King,1980,18799,,,,0,19850323-Bernard King
jGcuYNkCeV4,18458,19850502,05.02.1985.- Lakers@Rockets: 37-year-old Abdul-Jabbar vs Olajuwon & Sampson (Young ''Twin Towers''),"Kareem Abdul-Jabbar,Ralph Sampson,Hakeem Olajuwon",1980,18458,,,,0,19850502-Kareem Abdul-Jabbar
G8-N2z1tI0Y,18283,19820126,"Bucks @ Lakers, 1982  (RARE)","Magic Johnson,Sidney Moncrief",1980,18283,,,,0,19820126-Magic Johnson
w9wcH5lHQAo,18197,19871212,"Michael Jordan 44pts, 5stl, 5blk (12.12.1987)",Michael Jordan,1980,18197,,,,0,19871212-Michael Jordan
ulhIOgd2DIw,17621,19841030,Charles Barkley Scores 20 Points vs. New Jersey Nets,Charles Barkley,1980,17621,,,,0,19841030-Charles Barkley
ifOi6fqgtLw,17244,19851215,Toronto Raptors vs Milwaukee Bucks Nov.6/07,Desmond Mason,1980,17244,,,,0,19851215-Desmond Mason
ISk9KYnVnN8,17141,19890406,Michael Jordan | 7th Consecutive Triple Double Game vs Detroit Pistons(1989),Michael Jordan,1980,17141,,,,0,19890406-Michael Jordan
sNwlZ9npLa4,16902,19840405,4/5/84 Lakers Jazz Intro (Chick Hearn),Chick Hearn,1980,16902,,,,0,19840405-Chick Hearn
Yx7x8Jz2Mgw,16497,19860417,Michael Jordan 49 pts vs. Celtics - 1986 1st Round Game 1,"Michael Jordan,Dennis Johnson",1980,16497,,,,0,19860417-Michael Jordan
a0HAW2H5NyI,16282,19890310,Alex English (51pts/10asts) vs. Heat (1989),Alex English,1980,16282,,,,0,19890310-Alex English
8KnVefSyUKc,16218,19890521,Michael Jordan 32 pts vs. Pistons - 1989 ECF Game 1,Michael Jordan,1980,16218,,,,0,19890521-Michael Jordan
pR1EFuoyrAc,16167,19850505,"May 5, 1985 - Vinnie Johnson scores 22 points in the 4th quarter vs. Boston",Vinnie Johnson,1980,16167,,,,0,19850505-Vinnie Johnson
vWK3UJ2X-ls,16065,19880222,Michael Jordan : Amazing Finish (1988.2.23),Michael Jordan,1980,16065,,,,0,19880222-Michael Jordan
SKOV0u5_0N0,15999,19861220,Mark Eaton (16pts/13rebs/10blks) vs. Bulls (1986),Mark Eaton,1980,15999,,,,0,19861220-Mark Eaton
Xg_lwuskSYU,15919,19890914,"Jimmy Butler - "" SideLine Watching Mix""",Jimmy Butler,1980,15919,,,,0,19890914-Jimmy Butler
vubLK94dAkw,15819,19841106,Hakeem Olajuwon Scores 23 Points vs. Kansas City Kings,Hakeem Olajuwon,1980,15819,,,,0,19841106-Hakeem Olajuwon
Kfc_-_zw8qk,15488,19850519,Cyberdunk: Hamed Haddadi,Hamed Haddadi,1980,15488,,,,0,19850519-Hamed Haddadi
nWQTwRZgsGU,15475,19821121,Magic Johnson Goes Coast to Coast and Dunks,Magic Johnson,1980,15475,,,,0,19821121-Magic Johnson
I3JEmiZBgBw,15436,19850309,Michael Jordan - 28 pts v Jazz 1985,Michael Jordan,1980,15436,,,,0,19850309-Michael Jordan
HdHCQiuQC5I,15352,19840111,George Gervin (38pts) vs. Nuggets (1984),George Gervin,1980,15352,,,,0,19840111-George Gervin
